model1_label,model2_label,mean_kappa,min_kappa,max_kappa
GPT-OSS 120B,GPT-5 Nano,0.5998372015863639,0.5001851166234728,0.6863739806561729
Claude Sonnet 4.5,Qwen 3 Instruct (4B),0.5257844465758474,0.3375355835705571,0.7733168449009991
Claude Sonnet 4.5,GPT-5 Nano,0.5221942863027758,0.3454746005954004,0.6436206155169235
Claude Sonnet 4.5,GPT-OSS 120B,0.5022696407735334,0.2221577928027185,0.7705543210617981
GPT-5 Nano,Qwen 3 Instruct (4B),0.447271568626314,0.27027027027027023,0.5580397453212423
GPT-OSS 120B,Qwen 3 Instruct (4B),0.4157302371264731,0.1646375516586619,0.6623549897107709
DeepSeek V3.1,GPT-OSS 120B,0.36161440581720256,0.15783740964451937,0.5340348767288033
DeepSeek V3.1,GPT-5 Nano,0.33561830957134214,0.11125129028558353,0.5857578752847136
Claude Sonnet 4.5,DeepSeek V3.1,0.23830669451166375,0.10199456029011796,0.4494163424124514
DeepSeek V3.1,Qwen 3 Instruct (4B),0.23502564317642557,0.06007559180425694,0.42975289042564685
GPT-5 Nano,Perplexity Sonar,0.15610021726429324,0.09538528574735508,0.2545679230293934
GPT-OSS 120B,Perplexity Sonar,0.1428593165938774,0.038879746543424146,0.23337820071370433
Claude Sonnet 4.5,Perplexity Sonar,0.13821412469707478,0.05508870214752583,0.2284236083010578
Qwen 3 Instruct (4B),Perplexity Sonar,0.12950025540458385,0.04221628978224444,0.24592573286129019
DeepSeek V3.1,Perplexity Sonar,0.10950107948906325,0.04358814998964211,0.21856584784479913
Claude Sonnet 4.5,Llama 3.2 Instruct (3B),0.011485642683431118,0.0045871559633027525,0.018185284025924564
GPT-5 Nano,Llama 3.2 Instruct (3B),0.009703964667225685,0.004083016193396311,0.017463834223902044
Llama 3.2 Instruct (3B),Qwen 3 Instruct (4B),0.008346588070259573,-0.008981813315092164,0.02127547527515936
GPT-OSS 120B,Llama 3.2 Instruct (3B),0.005792805755486665,0.002261436153297109,0.01070557305606214
DeepSeek V3.1,Llama 3.2 Instruct (3B),0.0019533359217266634,-0.0025340921292816543,0.008679492865442206
Llama 3.2 Instruct (3B),Perplexity Sonar,-0.006466566090491429,-0.026237150649168955,-0.0010529348074420836
